review,rating,date,bank,source,vader_compound,vader_label
Make it user friendly.,2,2025-11-29,CBE,Google Play,0.4939,pos
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,0.0,neu
good app,5,2025-11-28,CBE,Google Play,0.4404,pos
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,0.5198,pos
why didn't work this app?,1,2025-11-27,CBE,Google Play,0.0,neu
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,0.68,pos
this app very bad 👎,1,2025-11-27,CBE,Google Play,-0.5849,neg
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,0.6701,pos
Good application,4,2025-11-27,CBE,Google Play,0.4404,pos
It is nice app,5,2025-11-26,CBE,Google Play,0.4215,pos
best,5,2025-11-25,CBE,Google Play,0.6369,pos
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,-0.8979,neg
nice app...,5,2025-11-25,CBE,Google Play,0.4215,pos
very good banking service and fast service,5,2025-11-24,CBE,Google Play,0.4927,pos
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,0.6808,pos
good,5,2025-11-24,CBE,Google Play,0.4404,pos
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,0.0,neu
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,0.0,neu
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,0.0,neu
wow,5,2025-11-23,CBE,Google Play,0.5859,pos
nice,5,2025-11-22,CBE,Google Play,0.4215,pos
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,0.0,neu
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,0.7177,pos
excellent,5,2025-11-22,CBE,Google Play,0.5719,pos
ዳጊ,5,2025-11-21,CBE,Google Play,0.0,neu
absolutely right,5,2025-11-21,CBE,Google Play,0.0,neu
mid application it's so annoying,3,2025-11-20,CBE,Google Play,-0.541,neg
I used morethan one year,4,2025-11-20,CBE,Google Play,0.0,neu
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,0.1531,pos
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,0.8519,pos
Nice,5,2025-11-19,CBE,Google Play,0.4215,pos
suckkkks,1,2025-11-19,CBE,Google Play,0.0,neu
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,0.0,neu
I love you this app,5,2025-11-19,CBE,Google Play,0.6369,pos
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,0.7003,pos
make life easy,5,2025-11-19,CBE,Google Play,0.4404,pos
securr,5,2025-11-19,CBE,Google Play,0.0,neu
My most optional bank,5,2025-11-17,CBE,Google Play,0.0,neu
5 star,5,2025-11-17,CBE,Google Play,0.0,neu
it is fantastic app.,5,2025-11-16,CBE,Google Play,0.5574,pos
sifen,5,2025-11-16,CBE,Google Play,0.0,neu
i like this√,4,2025-11-16,CBE,Google Play,0.3612,pos
Ok,3,2025-11-16,CBE,Google Play,0.296,pos
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,-0.3818,neg
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,-0.8466,neg
Like,5,2025-11-13,CBE,Google Play,0.3612,pos
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,0.831,pos
Good,5,2025-11-13,CBE,Google Play,0.4404,pos
smart app,4,2025-11-12,CBE,Google Play,0.4019,pos
good App,5,2025-11-12,CBE,Google Play,0.4404,pos
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,0.4854,pos
ok,5,2025-11-11,CBE,Google Play,0.296,pos
cbe is my choice,4,2025-11-11,CBE,Google Play,0.0,neu
Awesome,5,2025-11-11,CBE,Google Play,0.6249,pos
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,0.0,neu
Very convenient App,5,2025-11-11,CBE,Google Play,0.0,neu
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,0.3291,pos
wow apk,5,2025-11-10,CBE,Google Play,0.5859,pos
best 100 %,5,2025-11-10,CBE,Google Play,0.6369,pos
bad app,1,2025-11-10,CBE,Google Play,-0.5423,neg
best app,5,2025-11-10,CBE,Google Play,0.6369,pos
nice app,5,2025-11-10,CBE,Google Play,0.4215,pos
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,0.6355,pos
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,0.0,neu
👌👌,5,2025-11-10,CBE,Google Play,0.9055,pos
best 👌,5,2025-11-10,CBE,Google Play,0.8842,pos
not Refresh,2,2025-11-10,CBE,Google Play,0.0,neu
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,0.0,neu
good very good,5,2025-11-09,CBE,Google Play,0.7264,pos
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,-0.4939,neg
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,0.9251,pos
Good !,5,2025-11-08,CBE,Google Play,0.4926,pos
i like it,5,2025-11-08,CBE,Google Play,0.3612,pos
Very nice app,5,2025-11-08,CBE,Google Play,0.4754,pos
the app is not functional this week.,4,2025-11-08,CBE,Google Play,0.0,neu
very updated bank,5,2025-11-06,CBE,Google Play,0.0,neu
tankyu,5,2025-11-05,CBE,Google Play,0.0,neu
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,0.0,neu
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,0.0258,neu
loved it,5,2025-11-05,CBE,Google Play,0.5994,pos
this app is not working on my phone,5,2025-11-03,CBE,Google Play,0.0,neu
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,-0.0423,neu
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,0.5678,pos
wow 😘😘😘,4,2025-11-02,CBE,Google Play,0.9042,pos
mobile banking broblem,5,2025-11-01,CBE,Google Play,0.0,neu
good job,5,2025-11-01,CBE,Google Play,0.4404,pos
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,0.6705,pos
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,0.0,neu
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,0.861,pos
niiceh,5,2025-10-29,CBE,Google Play,0.0,neu
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,-0.2144,neg
🤮,1,2025-10-29,CBE,Google Play,0.0,neu
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,0.0,neu
strong,5,2025-10-28,CBE,Google Play,0.5106,pos
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,0.0,neu
